month,year,usage,area,floor,minTemp,maxTemp,avgTemp,semester
1,2556,121000.00,11685.45,7,26,30,28,1
2,2556,119000.00,11685.45,7,28,32,30,1
3,2556,147000.00,11685.45,7,24,34,31,0
4,2556,125000.00,11685.45,7,29,34,32,0
5,2556,150000.00,11685.45,7,30,34,32,0
6,2556,138000.00,11685.45,7,28,32,30,1
7,2556,128000.00,11685.45,7,28,32,30,1
8,2556,142000.00,11685.45,7,28,31,30,1
9,2556,132000.00,11685.45,7,24,32,29,1
10,2556,136000.00,11685.45,7,26,31,29,0
11,2556,136000.00,11685.45,7,26,31,30,1
12,2556,94000.00,11685.45,7,21,30,25,1
1,2557,94000.00,11685.45,7,21,28,25,1
2,2557,108000.00,11685.45,7,24,29,28,1
3,2557,117999.00,11685.45,7,27,32,30,1
4,2557,126000.00,11685.45,7,29,33,31,1
5,2557,133000.00,11685.45,7,29,33,31,1
6,2557,135000.00,11685.45,7,28,32,30,0
7,2557,138000.00,11685.45,7,27,32,30,0
8,2557,131000.00,11685.45,7,27,31,29,1
9,2557,129000.00,11685.45,7,28,31,29,1
10,2557,129000.00,11685.45,7,27,29,29,1
11,2557,128000.00,11685.45,7,26,31,29,1
12,2557,112000.00,11685.45,7,24,29,27,1
1,2558,108000.00,11685.45,7,23,29,26,1
2,2558,114000.00,11685.45,7,26,31,28,1
3,2558,123000.00,11685.45,7,27,31,30,1
4,2558,122000.00,11685.45,7,27,33,30,1
5,2558,134000.00,11685.45,7,29,32,31,1
6,2558,131000.00,11685.45,7,29,33,30,0
7,2558,143000.00,11685.45,7,28,32,30,0
8,2558,128000.00,11685.45,7,27,32,30,1
9,2558,127000.00,11685.45,7,26,31,29,1
10,2558,125000.00,11685.45,7,27,30,29,1
11,2558,124000.00,11685.45,7,28,31,29,1
12,2558,135000.00,11685.45,7,24,31,28,1
1,2559,128000.00,11685.45,7,18,31,27,1
2,2559,122000.00,11685.45,7,20,30,28,1
3,2559,149000.00,11685.45,7,27,33,31,1
4,2559,139000.00,11685.45,7,29,34,32,1
5,2559,140000.00,11685.45,7,29,34,32,1
6,2559,153000.00,11685.45,7,27,32,29,0
7,2559,141000.00,11685.45,7,28,31,29,0
8,2559,151000.00,11685.45,7,29,31,30,1
9,2559,127000.00,11685.45,7,27,31,29,1
10,2559,159000.00,11685.45,7,27,30,29,1
11,2559,143000.00,11685.45,7,27,31,29,1
12,2559,135000.00,11685.45,7,24,30,27,1
1,2560,131000.00,11685.45,7,26,29,27,1
2,2560,124000.00,11685.45,7,24,31,28,1
3,2560,160000.00,11685.45,7,27,32,30,1
4,2560,137000.00,11685.45,7,28,33,31,1
5,2560,151000.00,11685.45,7,27,32,30,1
6,2560,151000.00,11685.45,7,28,31,29,0
7,2560,147000.00,11685.45,7,27,31,29,0
8,2560,153000.00,11685.45,7,27,31,29,1
9,2560,154000.00,11685.45,7,28,31,29,1
10,2560,119000.00,11685.45,7,26,31,28,1
11,2560,141000.00,11685.45,7,25,30,28,1
12,2560,141000.00,11685.45,7,20,29,26,1
1,2561,129000.00,11685.45,7,22,30,27,1
2,2561,127000.00,11685.45,7,23,30,27,1
