month,year,usage,area,floor,minTemp,maxTemp,avgTemp,semester
6,2561,16322,2023.32,3,26,31,30,0
7,2561,15922,2023.32,3,27,30,29,0
8,2561,16103,2023.32,3,27,30,29,1
9,2561,15793,2023.32,3,27,31,29,1
10,2561,16837,2023.32,3,27,31,29,1
11,2561,16196,2023.32,3,26,31,29,1
12,2561,15532,2023.32,3,26,30,28,1
1,2556,54000,5801.84,4,26,30,28,1
2,2556,54800,5801.84,4,28,32,30,1
3,2556,54800,5801.84,4,24,34,31,0
4,2556,45200,5801.84,4,29,34,32,0
5,2556,55600,5801.84,4,30,34,32,0
6,2556,56800,5801.84,4,28,32,30,1
7,2556,58000,5801.84,4,28,32,30,1
8,2556,64800,5801.84,4,28,31,30,1
9,2556,56800,5801.84,4,24,32,29,1
10,2556,52400,5801.84,4,26,31,29,0
11,2556,60400,5801.84,4,26,31,30,1
12,2556,34400,5801.84,4,21,30,25,1
1,2557,42000,5801.84,4,21,28,25,1
2,2557,89600,5801.84,4,24,29,28,1
3,2557,57200,5801.84,4,27,32,30,1
4,2557,51200,5801.84,4,29,33,31,1
5,2557,46000,5801.84,4,29,33,31,1
6,2557,52800,5801.84,4,28,32,30,0
7,2557,52400,5801.84,4,27,32,30,0
8,2557,52000,5801.84,4,27,31,29,1
9,2557,59200,5801.84,4,28,31,29,1
10,2557,61200,5801.84,4,27,29,29,1
11,2557,56800,5801.84,4,26,31,29,1
12,2557,46800,5801.84,4,24,29,27,1
1,2558,46800,5801.84,4,23,29,26,1
2,2558,56800,5801.84,4,26,31,28,1
3,2558,65200,5801.84,4,27,31,30,1
4,2558,58400,5801.84,4,27,33,30,1
5,2558,54400,5801.84,4,29,32,31,1
6,2558,58000,5801.84,4,29,33,30,0
7,2558,58800,5801.84,4,28,32,30,0
8,2558,59200,5801.84,4,27,32,30,1
9,2558,65200,5801.84,4,26,31,29,1
10,2558,61200,5801.84,4,27,30,29,1
11,2558,64800,5801.84,4,28,31,29,1
12,2558,49200,5801.84,4,24,31,28,1
1,2559,44800,5801.84,4,18,31,27,1
2,2559,58000,5801.84,4,20,30,28,1
3,2559,73200,5801.84,4,27,33,31,1
4,2559,62800,5801.84,4,29,34,32,1
